username,id,language,retweets_count,tweet,hashtags,replies_count,cashtags,name,likes_count,created_at
shibainuart,1465535139031572480,en,924,Crypto Exchange Kraken Now Supports Shiba Inu — $SHIB Trading to Begin Tomorrow   https://t.co/yIXIR5ALfu,[],100,['shib'],MILKSHAKE,2889,2021-11-30 04:16:20 UTC
shibainuart,1465534664030916608,en,501,"Crypto exchange Kraken lists Shiba Inu, kickstarting $SHIB price recovery.   https://t.co/lh6s54AdNS",[],38,['shib'],MILKSHAKE,1693,2021-11-30 04:14:26 UTC
shibainuart,1464732233495838721,en,980,Shiba Inu $SHIB Strengthens Its Presence on Asian Exchanges   https://t.co/E9wYmuYPEv,[],137,['shib'],MILKSHAKE,2872,2021-11-27 23:05:52 UTC
shibainuart,1464731931862466566,en,753,Shiba Inu $SHIB Metaverse: Here’s Everything You Should Know About the currency’s Gaming Venture.  Source:  https://t.co/JMQSJtqoOh,[],97,['shib'],MILKSHAKE,2275,2021-11-27 23:04:40 UTC
shibainuart,1464731702517911555,en,647,Shiba Inu team joins hands with former @Activision VP for a Shiba $SHIB game.  @william_volk    https://t.co/2vHSYyuOIj,[],94,['shib'],MILKSHAKE,1927,2021-11-27 23:03:45 UTC
shibainuart,1464731403531157506,en,674,This Is Why Shiba Inu $SHIB Will Disrupt The Metaverse Industry!   https://t.co/ewaXOyUXPC,[],132,['shib'],MILKSHAKE,1891,2021-11-27 23:02:34 UTC
shibainuart,1464731200115789825,en,861,It's Official! Online Retail Giant Newegg Confirms That It Will Accept Shiba Inu $SHIB   https://t.co/vO1qHKEWHY,[],89,['shib'],MILKSHAKE,2622,2021-11-27 23:01:46 UTC
shibainuart,1464731082432008197,en,1390,Shiba Inu $SHIB Propels Into Trillion-Dollar Metaverse With Blockchain Gaming Introduction.   https://t.co/qENVKykx8d,[],196,['shib'],MILKSHAKE,3714,2021-11-27 23:01:18 UTC
shibainuart,1464730716416065541,en,657,"Shiba Inu $SHIB finds new friend in Newegg, as online retailer confirms it will accept the token.   https://t.co/hATNjLUTiN",[],96,['shib'],MILKSHAKE,2132,2021-11-27 22:59:50 UTC
shibainuart,1464345233647300615,en,416,Invited to an AMA with the Shiba Persian Chat at this time.  https://t.co/cl3c77LD7j  https://t.co/mxQXsy9P72,[],78,[],MILKSHAKE,1435,2021-11-26 21:28:04 UTC
shibainuart,1463964083489697807,en,1127,Shiba Inu : Trending on Socials with 56.3K Tweets.  #SHIB  https://t.co/iSuQDwtC54,['shib'],234,[],MILKSHAKE,3556,2021-11-25 20:13:31 UTC
shibainuart,1463897079915241472,en,1198,🟢 New Medium release tomorrow.  🟢 Shiba Inu Games details.  🟢 Lead Consultant that will be working with the AAA game studio to be revealed.   #ShibArmy,['shibarmy'],191,[],MILKSHAKE,3316,2021-11-25 15:47:16 UTC
shibainuart,1463741222674071552,en,724,Decoding the Shiba Inu $SHIB Teaser: Here’s What it Could Mean  Source: @WatcherGuru   https://t.co/xCFgiiFfNN,[],226,['shib'],MILKSHAKE,2168,2021-11-25 05:27:57 UTC
shibainuart,1463450258948571138,en,598,"GiftChill, E-Gift Cards Giant Retailer, Confirms Shiba $SHIB as Payment Method.   https://t.co/LkpVuXHzd6",[],68,['shib'],MILKSHAKE,1557,2021-11-24 10:11:45 UTC
shibainuart,1462984126227566595,en,344,Shiba Inu team issues scam alert to $SHIB investors.   https://t.co/CQ0mB0A1M9,[],54,['shib'],MILKSHAKE,1154,2021-11-23 03:19:31 UTC
shibainuart,1462983169234276353,en,627,Shiba Inu $SHIB Dominate U.S. Most Searched List In November   https://t.co/BKvkt6rPyB,[],74,['shib'],MILKSHAKE,1816,2021-11-23 03:15:43 UTC
shibainuart,1462586876544446467,en,788,"Shiba Inu $SHIB makes up the biggest holding of the top 1,000 ETH wallets.   https://t.co/EB6k1oyDUZ",[],102,['shib'],MILKSHAKE,2338,2021-11-22 01:00:59 UTC
shibainuart,1462586615323193347,en,641,Vegas Auto Gallery Now Accepts Shiba Inu $SHIB Payment for Its Services  Source:  https://t.co/c1mkzwIv4Z,[],76,['shib'],MILKSHAKE,1806,2021-11-22 00:59:57 UTC
shibainuart,1462586353699340292,en,615,"Now You Can Finally Buy a Car With the Shiba Inu $SHIB Token, but With This Increased Popularity Comes an Onslaught of Scams.  Source:  https://t.co/9kzzMu3A45",[],86,['shib'],MILKSHAKE,1797,2021-11-22 00:58:54 UTC
shibainuart,1462116445479784454,en,728,🐶Doggy.  🦴Dao.  💟Shiba.  ☸️Swap.   🎨Shibo.  🕹Shis.   🪧Shiba.  🛅Rium.  🟠Shib.  🔴Leash.  ⚪️Bone.   🌙✨💫  #ShibArmy,['shibarmy'],162,[],MILKSHAKE,2322,2021-11-20 17:51:40 UTC
shibainuart,1461719840142491655,en,588,"🟥These scammers are getting quite creative, and this one is getting super irritating.  Do not click on these links There is no SHIBA NEWS BIG EVENT There is no GIVEAWAY There is no AIRDROP Stay safe. Do not hand your keys Beware of impersonators Block THEM!  #SHIBARMY #SHIB  https://t.co/vewFD2Up6C","['shibarmy', 'shib']",187,[],MILKSHAKE,1435,2021-11-19 15:35:41 UTC
shibainuart,1461717326827454464,en,744,"Recently, crypto analytics firm Santiment published a research report in which it said that Shiba Inu $SHIB could be considered a “blue chip” among Ethereum-powered altcoins.  Source:  https://t.co/5UiZHSt2nv",[],180,['shib'],MILKSHAKE,1926,2021-11-19 15:25:42 UTC
shibainuart,1461077044297494530,en,1159,Even Drinking Coffee Can Burn $SHIB After Shiba Coffee Company Launches.  Source:  https://t.co/cboesObMUE,[],199,['shib'],MILKSHAKE,3052,2021-11-17 21:01:27 UTC
shibainuart,1460833467277529090,en,675,"AMC Theatres to Accept Shiba Inu $SHIB Within Two to Four Months. The largest movie theater chain in the U.S. already accepts bitcoin, ether and other cryptos.  Source:  https://t.co/NeabQZvSFT",[],112,['shib'],MILKSHAKE,1997,2021-11-17 04:53:34 UTC
shibainuart,1460833285626478592,en,1123,Shiba Inu $SHIB Now Supported by Samsung-Backed Crypto Wallet App  Source:  https://t.co/qjAITjocy5,[],106,['shib'],MILKSHAKE,3061,2021-11-17 04:52:50 UTC
shibainuart,1460274307133685760,en,692,Kraken Exec drops Shiba Inu $SHIB listing hint; Deletes tweet later.  Source:  https://t.co/w9p7SljHf6,[],113,['shib'],MILKSHAKE,1923,2021-11-15 15:51:40 UTC
shibainuart,1459751376687276036,en,1202,Crypto Exchange Gemini Adds Shiba Inu Support — $SHIB Investors Hopeful Robinhood Will Be Next   https://t.co/UiQ6BZTrXl,[],159,['shib'],MILKSHAKE,3509,2021-11-14 05:13:43 UTC
shibainuart,1458938213003718671,en,589,"Massive: A community member just shared this account @FigaroResearch with me. It mysteriously appeared on social media, and posts: This Truth is for teh ppl $SHIB.  Also releasing a medium titled: Clearing the mist around the ETH OGs and Shiba Inu connection (Part 1).",[],132,['shib'],MILKSHAKE,1532,2021-11-11 23:22:30 UTC
shibainuart,1458916828080590848,en,1628,Mobile Game Helps Shiba Inu Burn By Destroying $SHIB With Ad Revenue 🔥  Source:  https://t.co/28Ft5wkPRL,[],215,['shib'],MILKSHAKE,4315,2021-11-11 21:57:31 UTC
shibainuart,1458867888417173505,en,979,"Shiba Inu $SHIB Will Make an Explosive Move Right Back, Says Crypto Analyst  Source: @Investingcom   https://t.co/BX0iQ61g1W",[],177,['shib'],MILKSHAKE,2531,2021-11-11 18:43:03 UTC
shibainuart,1458867625065271305,en,828,Dog Coin Shiba Inu $SHIB Looks to Resume Its Uptrend   https://t.co/PACqkiRTEB,[],76,['shib'],MILKSHAKE,2499,2021-11-11 18:42:00 UTC
shibainuart,1458866812305620992,en,877,Shiba Inu price prediction: $SHIB could soon explode higher  Source:  https://t.co/eRtYYZenur,[],106,['shib'],MILKSHAKE,2481,2021-11-11 18:38:47 UTC
shibainuart,1458490201869733892,en,1062,AMC Theatres Says Customers Will Soon Be Able To Pay With Shiba Inu $SHIB   https://t.co/PJCB5DnyNX,[],106,['shib'],MILKSHAKE,2709,2021-11-10 17:42:16 UTC
shibainuart,1458489960110067712,en,534,AMC Theatres on Track to Accept 4 Cryptocurrencies Next Month: CEO Expects Dogecoin and Shiba Inu $SHIB to Follow. #AMC $AMC @CEOAdam   Source:   https://t.co/yD4MClCa9u,['amc'],87,"['shib', 'amc']",MILKSHAKE,1443,2021-11-10 17:41:18 UTC
shibainuart,1458489656576659460,en,671,Shiba Inu $SHIB coin trading frenzy could help lift @Coinbase out of its third-quarter funk.   https://t.co/rv0rQgpeJI,[],99,['shib'],MILKSHAKE,1822,2021-11-10 17:40:06 UTC
shibainuart,1458489482026442756,en,1301,Robinhood COO Applauds Shiba Inu $SHIB Community but Fails to Provide Details on Listing   https://t.co/QjA3unUl4q,[],316,['shib'],MILKSHAKE,4073,2021-11-10 17:39:24 UTC
shibainuart,1458488773465968643,en,988,"Shiba Inu $SHIB Coin’s Userbase Is Approaching 1 Million Now, but the COO of Robinhood Remains Unimpressed. Really @RobinhoodApp?  Source:  https://t.co/mdNKhbGCiW",[],253,['shib'],MILKSHAKE,2731,2021-11-10 17:36:35 UTC
shibainuart,1458488608789184513,en,434,"A warehouse worker has quit their job and retired at the age of 35 after investing £6,000 in the cryptocurrency Shiba Inu $SHIB.  Source:  https://t.co/ylfv0Z13lq",[],37,['shib'],MILKSHAKE,1318,2021-11-10 17:35:56 UTC
shibainuart,1458488340047564806,en,1031,"Shiba Inu $SHIB Beats Bitcoin, Ether, and Dogecoin as Most Popular Cryptocurrency on Twitter.  Source:  https://t.co/wMsJPI19G1",[],157,['shib'],MILKSHAKE,2875,2021-11-10 17:34:52 UTC
shibainuart,1457769074700607491,en,634,"Coinbase’s Shiba $SHIB Gamble, NFT Plan Fuel Wall Street Optimism.  Source: @business   https://t.co/Wn7bfMyl2u",[],95,['shib'],MILKSHAKE,1828,2021-11-08 17:56:46 UTC
shibainuart,1457768590153687043,en,849,"Shiba Inu $SHIB Beats Out Cardano, Dogecoin On Top 10 Watch-Listed Tokens  Source: @newsbtc   https://t.co/qeW309BCko",[],120,['shib'],MILKSHAKE,2355,2021-11-08 17:54:50 UTC
shibainuart,1456520589728894980,en,73,"@Ry0shiNFt @shibarium_ @brianchoffman @krakenfx My tweet wasn’t insulting. In fact it just quoted his Shiba Inu GIF he shared earlier letting him know I agreed with the sentiment. I think his message was that he sees the community. Needless to say, the quote retweet was polite and respectful, asking for an update on listing.",[],34,[],MILKSHAKE,247,2021-11-05 07:15:44 UTC
shibainuart,1455658878675288065,en,473,"Crypto exchange Kraken promises to list shiba inu $SHIB on Tuesday, and asks the #SHIBarmy to vote on it.   https://t.co/hcZlt4AhnW",['shibarmy'],92,['shib'],MILKSHAKE,1472,2021-11-02 22:11:36 UTC
shibainuart,1455658087952490502,en,344,Shiba Inu $SHIB Price Update As Kraken Exchange Teases Listing the Crypto.   https://t.co/YEQCjc7OdF,[],64,['shib'],MILKSHAKE,1019,2021-11-02 22:08:27 UTC
shibainuart,1455353429543448577,en,555,"Shiba Inu Price Predictions: Can $AMC Ticket Sales Take SHIB to Record Highs?  AMC is putting up its best ticket sales in months, and Adam Aron is hypin up $SHIB investors.   https://t.co/kChEwF3uwB",[],59,"['amc', 'shib']",MILKSHAKE,1464,2021-11-02 01:57:51 UTC
shibainuart,1455351389572399104,en,896,Get ready #ShibArmy...  Crypto Exchange Kraken to List Shiba Inu $SHIB Tomorrow — SHIB Investors Expect Price to Pum   https://t.co/JUBw5OpP0I,['shibarmy'],126,['shib'],MILKSHAKE,2532,2021-11-02 01:49:45 UTC
shibainuart,1454896788016484360,en,702,"User "" shibmiikshake "" scamming people on Telegram.   There is no Shiba Bonus. There is no Shiba Giveaway. There is no Air Drop. Do not share your wallet keys.  Be safe #ShibArmy, and stay away from scammers who add you to their channels randomly, stick to official links only.  https://t.co/Slyk77WyzI",['shibarmy'],109,[],MILKSHAKE,1711,2021-10-31 19:43:19 UTC
shibainuart,1454506397530406917,en,585,Meme tokens are front and center after Shiba Inu $SHIB coin's rally. An expert says they're part of the evolution of finance and cannot be ignored.  Source:  https://t.co/jTj2Bi8PQx,[],78,['shib'],MILKSHAKE,1607,2021-10-30 17:52:03 UTC
shibainuart,1454352415218536452,en,757,❌ There is no Shiba Bonus / Air Drop.   ❌ Impersonators are out there scamming good investors.   ❌ I will never DM you.   ❌ Never give away your wallet keys.   🟩 Stick to Official Channels.   #ShibArmy,['shibarmy'],111,[],MILKSHAKE,2056,2021-10-30 07:40:11 UTC
shibainuart,1454090475925749764,en,829,Shiba Inu Is $SHIB Back Above Dogecoin as Coinbase Changes SHIB's Maximum Price Precision   https://t.co/byWuWyITdh,[],101,['shib'],MILKSHAKE,2254,2021-10-29 14:19:19 UTC
shibainuart,1454089475122884612,en,471,ANALYSIS-'When #shiba? wen $SHIB' ask Robinhood users hungry for dogecoin-like returns.  Source:  https://t.co/qjlgWnDIsm,['shiba'],65,['shib'],MILKSHAKE,1217,2021-10-29 14:15:21 UTC
shibainuart,1454088639797882880,en,835,"Robinhood users missed Shiba Inu's 89-million-percent rally over the past year, with the token still unavailable to trade on the platform. $SHIB  We've been telling you, @RobinhoodApp it's all love for your users and platform too!   https://t.co/WPwoFBixqI",[],117,['shib'],MILKSHAKE,2036,2021-10-29 14:12:02 UTC
shibainuart,1454088281650393089,en,1416,Movie Giant AMC Considering Accepting Shiba Inu $SHIB - BULLISH !!!!!   https://t.co/XEwMqMkXGo,[],180,['shib'],MILKSHAKE,3183,2021-10-29 14:10:36 UTC
shibainuart,1454086619988779017,en,389,"Let's share some world crypto news, now shall we?  Ether Reaches Record High of Over $4.4K as Shiba Inu $SHIB Becomes a Leading ETH Burner   https://t.co/hXjwW3UATA",[],50,['shib'],MILKSHAKE,1066,2021-10-29 14:04:00 UTC
shibainuart,1453489201912049669,en,269,"📍Report: Warning, verified fake Shiba accounts such as @MelanieNews2 are appearing, please verify you are following and interacting directly with @Shibtoken.   Honestly, 313 Followers, and the not aligned Shib profile picture logo with the windows wallpaper for a banner.. #Faker  https://t.co/Oa3d52MjaA",['faker'],48,[],MILKSHAKE,601,2021-10-27 22:30:04 UTC
shibainuart,1453397502342746122,en,1308,"Crypto history will always showcase, Shiba Inu. $SHIB",[],177,['shib'],MILKSHAKE,4333,2021-10-27 16:25:42 UTC
shibainuart,1453227442500476940,en,311,"Secret, Curve and Shiba Inu $SHIB gains suggest that #altseason is coming.   https://t.co/hxHEUOzfSc",['altseason'],29,['shib'],MILKSHAKE,882,2021-10-27 05:09:56 UTC
shibainuart,1453226903708520450,en,682,"Shiba Inu $SHIB hits a new record as a petition asking Robinhood to list the coin gets over 300,000 signatures  Source: @FortuneMagazine   https://t.co/vclOcKWZaJ",[],71,['shib'],MILKSHAKE,1749,2021-10-27 05:07:48 UTC
shibainuart,1453060472685547520,en,347,STAY ALERT 🚨 another scam flowing on Telegram. Using my name to impersonate. This is a SCAM!!! There is not Shiba activity Rewards!! Or air drops! Or bonus!!! #SHIBARMY  https://t.co/FMFlUHywyr,['shibarmy'],40,[],MILKSHAKE,695,2021-10-26 18:06:27 UTC
shibainuart,1452990488978477063,en,894,🚀INCREDIBLE: Shiba Inu $SHIB continues to hit new All Time Highs! ATH after ATH! Lets delete the zero!  Holders are up 587% in the past 1 month.,[],129,['shib'],MILKSHAKE,2637,2021-10-26 13:28:22 UTC
shibainuart,1452674066268123137,en,668,"Shiba inu $SHIB coin, a ""meme"" cryptocurrency, hits all-time high.  (""I wish they realized we are more than a meme."")  Source: @CNN   https://t.co/W3dhqXPC7m",[],113,['shib'],MILKSHAKE,1928,2021-10-25 16:31:01 UTC
shibainuart,1452471974874079238,en,691,"Have a goodnight #ShibArmy, I'm going to bed early after not sleeping for over 24 hours (ATH excitement had me going!) Will be back tomorrow!   Image: Uni is a 9-month-old Shiba Inu living in Tokyo, Japan.  https://t.co/owIlHKUgbh",['shibarmy'],180,[],MILKSHAKE,3284,2021-10-25 03:07:59 UTC
shibainuart,1452283467438428171,en,588,"Shiba Inu $SHIB Jumps 50% to Record, Becoming 11th-Biggest Crypto Coin in the World.  Source: @business   https://t.co/CeNrgdOZQA",[],74,['shib'],MILKSHAKE,1546,2021-10-24 14:38:55 UTC
shibainuart,1452273404824989697,en,467,"I continue to say this: Our community is Shiba Inu. The ideas and solid support, showcases the ongoing growth, and acknowledgment of fulfilling Ryoshi’s dream. Ideas like this make me smile! Thank you @iamstevencooper Bullish snowball effect indeed. 🚀 $SHIB",[],65,['shib'],MILKSHAKE,1478,2021-10-24 13:58:56 UTC
shibainuart,1452184221812936705,en,1147,"Shiba Inu $SHIB Hits New All-Time High, Becomes Most Traded Cryptocurrency on @Coinbase  https://t.co/mwqPV4jDOK",[],185,['shib'],MILKSHAKE,3065,2021-10-24 08:04:33 UTC
shibainuart,1451696507233570825,en,420,SHIBA INU: Moving $SHIB to $0.00003  Source:  https://t.co/rdJInMpPND,[],39,['shib'],MILKSHAKE,1280,2021-10-22 23:46:33 UTC
shibainuart,1451696266220474370,en,639,Shiba Inu $SHIB Aims For Groundbreaking Shift In Primary Architecture With The Launch Of Its Own Blockchain  Source:  https://t.co/NgjK0NTGKt,[],120,['shib'],MILKSHAKE,1572,2021-10-22 23:45:35 UTC
shibainuart,1451696031494643714,en,294,Shiba Inu price analysis: $SHIB to breakout with RSI showing solid buyer interest at $0.000027  Source:  https://t.co/uY1s3yJepx,[],23,['shib'],MILKSHAKE,805,2021-10-22 23:44:39 UTC
shibainuart,1451695867019161602,en,523,Why people traded Dogecoin for Shiba Inu $SHIB cryptocurrency coins.  Source:  https://t.co/PMkB3kkqEV,[],121,['shib'],MILKSHAKE,1410,2021-10-22 23:44:00 UTC
shibainuart,1451267779126980608,en,849,"Shiba Inu $SHIB now listed on Public, Robinhood next?   https://t.co/bsrLDelej8",[],135,['shib'],MILKSHAKE,2788,2021-10-21 19:22:56 UTC
shibainuart,1450899334992588804,en,363,Beautiful Shiba Inu 👀 in @SnoopDogg's latest MV. #ShibArmy...  https://t.co/NVdoZlJx7n,['shibarmy'],94,[],MILKSHAKE,1237,2021-10-20 18:58:52 UTC
shibainuart,1449837564731351043,en,64,@army_shiba Bullish!,[],18,[],MILKSHAKE,343,2021-10-17 20:39:46 UTC
